RutaID,X,Y
1065,966,143
1065,973,142
1065,969,142
1065,966,133
1065,962,133
1065,967,127
1065,970,130
1065,1001,126
1065,1002,129
1065,995,138
1065,998,140
1065,996,138
1065,1003,130
1065,1001,126
1065,1006,125
1065,1014,136
1065,1012,141
1065,1006,143
1065,1021,149
1065,1013,144
1065,1016,137
1065,1010,127
1065,1002,124
1065,970,129
1065,966,125
1065,968,118
1065,953,122
1065,951,126
1065,944,128
1065,940,135
1065,930,133
1065,924,138
1065,904,138
1065,899,132
1065,861,128
1065,853,124
1065,860,128
1065,897,132
1065,901,136
1065,853,137
1065,811,128
1065,824,118
1065,851,123
1065,846,124
1065,842,120
1065,830,120
1065,825,117
1065,817,124
1065,804,128
1065,769,130
1065,765,127
1065,769,125
1065,745,123
1065,743,106
1065,750,100
1065,744,99
1069,448,92
1069,453,95
1069,450,97
1069,446,123
1069,434,126
1069,440,126
1069,444,130
1069,442,134
1069,444,132
1069,448,136
1069,443,146
1069,445,149
1069,437,150
1069,429,144
1069,431,141
1069,428,141
1069,428,130
1069,423,118
1069,431,126
1069,425,114
1069,414,118
1069,414,123
1069,416,120
1069,418,123
1069,412,152
1069,415,163
1069,407,180
1069,408,185
1069,405,187
1069,405,184
1069,398,193
1069,393,194
1069,385,206
1069,385,215
1069,377,218
1069,370,229
1069,370,234
1069,374,238
1069,383,238
1069,385,285
1069,379,285
1069,373,293
1069,379,287
1069,382,287
1069,385,293
1069,390,289
1069,389,285
1069,386,286
1069,383,271
1069,383,247
1069,385,241
1069,387,244
1069,387,236
1069,375,237
1069,370,231
1069,378,218
1069,386,215
1069,386,206
1069,393,196
1069,403,194
1069,423,211
1069,416,215
1069,424,211
1069,431,212
1069,431,217
1069,434,214
1069,438,217
1069,448,236
1069,449,259
1069,463,274
1069,451,283
1069,450,278
1069,450,282
1069,439,289
1069,434,302
1069,436,309
1069,430,310
1069,432,313
1069,441,308
1069,437,309
1069,436,302
1069,443,289
1069,450,292
1069,446,302
1069,450,300
1069,449,335
